BLOCK_NUMBER,BLOCK_TIMESTAMP,TX_HASH,ORIGIN_FUNCTION_SIGNATURE,ORIGIN_FROM_ADDRESS,ORIGIN_TO_ADDRESS,CONTRACT_ADDRESS,POOL_NAME,EVENT_NAME,AMOUNT_IN,AMOUNT_IN_USD,AMOUNT_OUT,AMOUNT_OUT_USD,SENDER,TX_TO,EVENT_INDEX,PLATFORM,TOKEN_IN,TOKEN_OUT,SYMBOL_IN,SYMBOL_OUT,_LOG_ID
13580761,2021-11-09 07:05:54.000,0xdc399f3e5b985108529744dc999e1959efa2b756400dfa59ac2a1923dc41bed8,0x7ff36ab5,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x98d677887af8a699be38ef6276f4cd84aca29d74,GM-WETH UNI-V2 LP,Swap,1,"null",122068670.368221,"null",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,277,uniswap-v2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xbc7250c8c3eca1dfc1728620af835fca489bfdf3,WETH,GM,0xdc399f3e5b985108529744dc999e1959efa2b756400dfa59ac2a1923dc41bed8-277
13767727,2021-12-08 23:44:45.000,0x2c49f5fd82a29bbfa9821482e5887044c17621ff96af6418775922e936d9efd6,0x791ac947,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xb92bdf13830d8111a8b648fbbdc455541c39ec70,OCC-WETH UNI-V2 LP,Swap,8812894958.88784,"null",0.6173210778,"null",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,403,uniswap-v2,0x80c57751444b021b8f916d164bd994743d059738,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,OCC,WETH,0x2c49f5fd82a29bbfa9821482e5887044c17621ff96af6418775922e936d9efd6-403
13992297,2022-01-12 18:20:53.000,0x513090a51423e76ef71c8a7e26a09453ddb9540701a2890e3ce6d98c35c1f5f3,0x791ac947,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xc7b7dac697b03e11e4af085d927f0c9b24b3f27d,"null",Swap,1.830798e+26,"null",1.349453274,4560.668242824,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,429,uniswap-v2,0xb56a1f3310578f23120182fb2e58c087efe6e147,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"null",WETH,0x513090a51423e76ef71c8a7e26a09453ddb9540701a2890e3ce6d98c35c1f5f3-429
13592455,2021-11-11 02:59:54.000,0x69567a07794fc51212ea3f79fec63f415ba2d15fc73bc3649831a995beb5f8f4,0x791ac947,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x98d677887af8a699be38ef6276f4cd84aca29d74,GM-WETH UNI-V2 LP,Swap,35229539.6886122,7669.918137842,1.851950689,8539.941678125,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,241,uniswap-v2,0xbc7250c8c3eca1dfc1728620af835fca489bfdf3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,GM,WETH,0x69567a07794fc51212ea3f79fec63f415ba2d15fc73bc3649831a995beb5f8f4-241
16373475,2023-01-10 02:39:59.000,0xe321f1e1763d2771a2e6825d5a92988748512de6867cf6439f0b6a8abb620729,0x5ae401dc,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xdecfb9c78f6c3ac51bc9770acd40ae9a7b6c9012,"null",Swap,407541519920694,"null",0.6999959094,928.040576803,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,186,uniswap-v2,0x0e1bb5546524235c8abfd6f9b77b25c2ca0e12e0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"null",WETH,0xe321f1e1763d2771a2e6825d5a92988748512de6867cf6439f0b6a8abb620729-186
12025739,2021-03-12 20:02:57.000,0x1563990dd5201cf89396b952b85a81c3f89a67b49f88c55c436c98da924530ab,0x38ed1739,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x1c87170cdbb3de04dce91bc99c04680d140d1982,WETH-VIBE UNI-V2 LP,Swap,0.2703011696,470.405767501,15150.051471994,476.625745763,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,247,uniswap-v2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe8ff5c9c75deb346acac493c463c8950be03dfba,WETH,VIBE,0x1563990dd5201cf89396b952b85a81c3f89a67b49f88c55c436c98da924530ab-247
12043496,2021-03-15 13:41:09.000,0x12f620d6aa80ffa2b05bf9c58ebe1b66c3cb1e7c44973dbaf5c2942e8429f8e9,0x38ed1739,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xb5bd39fc0c57d902271ba6c5cd89c1510a37c0dd,POLC-WETH UNI-V2 LP,Swap,0.3277281063,584.018495681,992.204380484,586.83583823,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,241,uniswap-v2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xaa8330fb2b4d5d07abfe7a72262752a8505c6b37,WETH,POLC,0x12f620d6aa80ffa2b05bf9c58ebe1b66c3cb1e7c44973dbaf5c2942e8429f8e9-241
13780796,2021-12-11 01:04:37.000,0x2ac003982f563b9bd3fb8c8bee78ed1d235bf955d5cd18b1ee4c8c3c64bae18b,0x7ff36ab5,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x86440987883e4f33a10fae71bac5d1b59c1cf540,"null",Swap,1,3950.127689789,403586801715793000,"null",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,481,uniswap-v2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x44d8db1160dd51413fa8f3da99ac7ac9359b09d1,WETH,"null",0x2ac003982f563b9bd3fb8c8bee78ed1d235bf955d5cd18b1ee4c8c3c64bae18b-481
13693974,2021-11-27 04:29:26.000,0xc0fe1f4abfacfcaca9458dbfa5ce7f7d25e186dcde9e436c58bee14df7593bc2,0x791ac947,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x98d677887af8a699be38ef6276f4cd84aca29d74,GM-WETH UNI-V2 LP,Swap,28833750,8234.203931463,1.980013448,8151.77750349,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,44,uniswap-v2,0xbc7250c8c3eca1dfc1728620af835fca489bfdf3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,GM,WETH,0xc0fe1f4abfacfcaca9458dbfa5ce7f7d25e186dcde9e436c58bee14df7593bc2-44
13642778,2021-11-19 01:25:32.000,0xebf10fab903dc1ef6d09f7a3880c392dcebe9338b9e391a68d58d0dcd3375ff1,0x7ff36ab5,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x5ae205303c7d3254ef536d4f535fafc47e3b957f,APE-WETH UNI-V2 LP,Swap,2,"null",532993370.528394,"null",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,458,uniswap-v2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x40e0a6ef9dbadfc83c5e0d15262feb4638588d77,WETH,APE,0xebf10fab903dc1ef6d09f7a3880c392dcebe9338b9e391a68d58d0dcd3375ff1-458
14159922,2022-02-07 16:07:16.000,0xab8813abb4f6c1f1c139112900fa150f0d2e35dd5254985013c171b39378a049,0x791ac947,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,0x0bd2b9116f1e2f88e4fd4cc0fce3e15178de8df5,TKNFY-WETH SLP,Swap,88489.197582885,2286.245818198,0.7367809098,2304.932109726,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,114,sushiswap,0xa6dd98031551c23bb4a2fbe2c4d524e8f737c6f7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,TKNFY,WETH,0xab8813abb4f6c1f1c139112900fa150f0d2e35dd5254985013c171b39378a049-114
14032124,2022-01-18 22:03:08.000,0x8208a9eb005056561a67d2a12a37ac1ee1c5317df8229c4b66d2b6902d1a9f4a,0x5c11d795,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,WETH-USDT UNI-V2 LP,Swap,0.2119640546,671.731260509,669.366524,669.707502634,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,437,uniswap-v2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,WETH,USDT,0x8208a9eb005056561a67d2a12a37ac1ee1c5317df8229c4b66d2b6902d1a9f4a-437
